[2025-04-06 15:14:08,685][__main__][INFO] - System information:
[2025-04-06 15:14:08,686][__main__][INFO] -   Platform: Linux-6.11.0-21-generic-x86_64-with-glibc2.39
[2025-04-06 15:14:08,686][__main__][INFO] -   Python: 3.12.2
[2025-04-06 15:14:08,686][__main__][INFO] -   PyTorch: 2.5.1
[2025-04-06 15:14:08,686][__main__][INFO] -   CUDA Available: True
[2025-04-06 15:14:08,686][__main__][INFO] -   CUDA Version: 12.4
[2025-04-06 15:14:08,686][__main__][INFO] -   GPU: NVIDIA GeForce GTX 1080 Ti
[2025-04-06 15:14:08,691][__main__][INFO] - Env: LunarLanderContinuous-v3  state_dim: 8  action_dim: 2  max_a: 1.0  min_a: -1.0  max_e_steps: 1000
[2025-04-06 15:14:08,692][__main__][INFO] - Random Seed: 42
[2025-04-06 15:44:08,425][__main__][INFO] - EnvName: LLdV3, Steps: 65k, Episode Reward: -28
[2025-04-06 15:44:34,981][__main__][INFO] - EnvName: LLdV3, Steps: 66k, Episode Reward: 75
[2025-04-06 15:45:01,015][__main__][INFO] - EnvName: LLdV3, Steps: 67k, Episode Reward: 67
[2025-04-06 15:45:27,114][__main__][INFO] - EnvName: LLdV3, Steps: 68k, Episode Reward: -20
[2025-04-06 15:45:52,677][__main__][INFO] - EnvName: LLdV3, Steps: 69k, Episode Reward: 166
[2025-04-06 15:46:15,679][__main__][INFO] - EnvName: LLdV3, Steps: 70k, Episode Reward: 87
[2025-04-06 15:46:43,263][__main__][INFO] - EnvName: LLdV3, Steps: 71k, Episode Reward: 114
[2025-04-06 15:47:08,070][__main__][INFO] - EnvName: LLdV3, Steps: 72k, Episode Reward: 121
[2025-04-06 15:47:34,028][__main__][INFO] - EnvName: LLdV3, Steps: 73k, Episode Reward: 125
[2025-04-06 15:47:59,833][__main__][INFO] - EnvName: LLdV3, Steps: 74k, Episode Reward: 144
[2025-04-06 15:48:29,247][__main__][INFO] - EnvName: LLdV3, Steps: 75k, Episode Reward: 65
[2025-04-06 15:48:29,247][__main__][INFO] - Training completed. Evaluating across 20 episodes
[2025-04-06 15:48:38,612][__main__][INFO] - Final evaluation - Mean: 85.60, Std: 125.39
[2025-04-06 15:48:38,613][__main__][INFO] - 90th percentile: 214.20, 10th percentile: -84.30
[2025-04-06 15:48:38,618][__main__][INFO] - Final model saved to models/SAC_model/LLdV3
