[2025-04-05 15:56:55,841][__main__][INFO] - System information:
[2025-04-05 15:56:55,841][__main__][INFO] -   Platform: Linux-6.11.0-21-generic-x86_64-with-glibc2.39
[2025-04-05 15:56:55,841][__main__][INFO] -   Python: 3.12.2
[2025-04-05 15:56:55,841][__main__][INFO] -   PyTorch: 2.5.1
[2025-04-05 15:56:55,841][__main__][INFO] -   CUDA Available: True
[2025-04-05 15:56:55,841][__main__][INFO] -   CUDA Version: 12.4
[2025-04-05 16:46:43,178][__main__][INFO] - EnvName: LLdV3, Steps: 110k, Episode Reward: 77
[2025-04-05 16:47:09,138][__main__][INFO] - EnvName: LLdV3, Steps: 111k, Episode Reward: 20
[2025-04-05 16:47:36,527][__main__][INFO] - EnvName: LLdV3, Steps: 112k, Episode Reward: 105
[2025-04-05 16:48:03,863][__main__][INFO] - EnvName: LLdV3, Steps: 113k, Episode Reward: 32
[2025-04-05 16:48:30,941][__main__][INFO] - EnvName: LLdV3, Steps: 114k, Episode Reward: 145
[2025-04-05 16:48:57,007][__main__][INFO] - EnvName: LLdV3, Steps: 115k, Episode Reward: 168
[2025-04-05 16:49:23,735][__main__][INFO] - EnvName: LLdV3, Steps: 116k, Episode Reward: 110
[2025-04-05 16:49:49,610][__main__][INFO] - EnvName: LLdV3, Steps: 117k, Episode Reward: 146
[2025-04-05 16:50:16,546][__main__][INFO] - EnvName: LLdV3, Steps: 118k, Episode Reward: 154
[2025-04-05 16:50:43,612][__main__][INFO] - EnvName: LLdV3, Steps: 119k, Episode Reward: 105
[2025-04-05 16:51:10,855][__main__][INFO] - EnvName: LLdV3, Steps: 120k, Episode Reward: 71
[2025-04-05 16:51:38,412][__main__][INFO] - EnvName: LLdV3, Steps: 121k, Episode Reward: 72
[2025-04-05 16:52:04,781][__main__][INFO] - EnvName: LLdV3, Steps: 122k, Episode Reward: 43
[2025-04-05 16:52:31,667][__main__][INFO] - EnvName: LLdV3, Steps: 123k, Episode Reward: 141
[2025-04-05 16:52:59,049][__main__][INFO] - EnvName: LLdV3, Steps: 124k, Episode Reward: 137
[2025-04-05 16:53:25,647][__main__][INFO] - EnvName: LLdV3, Steps: 125k, Episode Reward: 147
[2025-04-05 16:53:52,499][__main__][INFO] - EnvName: LLdV3, Steps: 126k, Episode Reward: 111
[2025-04-05 16:54:17,915][__main__][INFO] - EnvName: LLdV3, Steps: 127k, Episode Reward: 105
[2025-04-05 16:54:45,918][__main__][INFO] - EnvName: LLdV3, Steps: 128k, Episode Reward: 111
[2025-04-05 16:55:10,428][__main__][INFO] - EnvName: LLdV3, Steps: 129k, Episode Reward: 151
[2025-04-05 16:55:36,634][__main__][INFO] - EnvName: LLdV3, Steps: 130k, Episode Reward: 152
[2025-04-05 16:56:03,396][__main__][INFO] - EnvName: LLdV3, Steps: 131k, Episode Reward: 163
[2025-04-05 16:56:30,729][__main__][INFO] - EnvName: LLdV3, Steps: 132k, Episode Reward: 88
[2025-04-05 16:56:55,965][__main__][INFO] - EnvName: LLdV3, Steps: 133k, Episode Reward: 234
[2025-04-05 16:57:22,405][__main__][INFO] - EnvName: LLdV3, Steps: 134k, Episode Reward: 168
[2025-04-05 16:57:50,260][__main__][INFO] - EnvName: LLdV3, Steps: 135k, Episode Reward: 107
[2025-04-05 16:58:16,181][__main__][INFO] - EnvName: LLdV3, Steps: 136k, Episode Reward: 145
[2025-04-05 16:58:42,420][__main__][INFO] - EnvName: LLdV3, Steps: 137k, Episode Reward: 151
[2025-04-05 16:59:06,993][__main__][INFO] - EnvName: LLdV3, Steps: 138k, Episode Reward: 181
[2025-04-05 16:59:33,441][__main__][INFO] - EnvName: LLdV3, Steps: 139k, Episode Reward: 164
[2025-04-05 16:59:58,560][__main__][INFO] - EnvName: LLdV3, Steps: 140k, Episode Reward: 185
[2025-04-05 17:00:26,041][__main__][INFO] - EnvName: LLdV3, Steps: 141k, Episode Reward: 89
[2025-04-05 17:00:49,974][__main__][INFO] - EnvName: LLdV3, Steps: 142k, Episode Reward: 224
[2025-04-05 17:01:14,610][__main__][INFO] - EnvName: LLdV3, Steps: 143k, Episode Reward: 218
[2025-04-05 17:01:41,788][__main__][INFO] - EnvName: LLdV3, Steps: 144k, Episode Reward: 99
[2025-04-05 17:02:08,761][__main__][INFO] - EnvName: LLdV3, Steps: 145k, Episode Reward: 132
[2025-04-05 17:02:35,122][__main__][INFO] - EnvName: LLdV3, Steps: 146k, Episode Reward: 62
[2025-04-05 17:03:01,039][__main__][INFO] - EnvName: LLdV3, Steps: 147k, Episode Reward: 76
[2025-04-05 17:03:28,089][__main__][INFO] - EnvName: LLdV3, Steps: 148k, Episode Reward: 138
[2025-04-05 17:03:53,724][__main__][INFO] - EnvName: LLdV3, Steps: 149k, Episode Reward: 173
[2025-04-05 17:04:19,083][__main__][INFO] - EnvName: LLdV3, Steps: 150k, Episode Reward: 198
[2025-04-05 17:04:45,359][__main__][INFO] - EnvName: LLdV3, Steps: 151k, Episode Reward: 165
[2025-04-05 17:05:10,183][__main__][INFO] - EnvName: LLdV3, Steps: 152k, Episode Reward: 150
[2025-04-05 17:05:35,704][__main__][INFO] - EnvName: LLdV3, Steps: 153k, Episode Reward: 218
[2025-04-05 17:06:01,053][__main__][INFO] - EnvName: LLdV3, Steps: 154k, Episode Reward: 181
[2025-04-05 17:06:28,643][__main__][INFO] - EnvName: LLdV3, Steps: 155k, Episode Reward: 129
[2025-04-05 17:06:54,125][__main__][INFO] - EnvName: LLdV3, Steps: 156k, Episode Reward: 150
[2025-04-05 17:07:19,847][__main__][INFO] - EnvName: LLdV3, Steps: 157k, Episode Reward: 148
[2025-04-05 17:07:47,225][__main__][INFO] - EnvName: LLdV3, Steps: 158k, Episode Reward: 123
[2025-04-05 17:08:13,855][__main__][INFO] - EnvName: LLdV3, Steps: 159k, Episode Reward: 183
[2025-04-05 17:08:40,448][__main__][INFO] - EnvName: LLdV3, Steps: 160k, Episode Reward: 186
[2025-04-05 17:09:06,678][__main__][INFO] - EnvName: LLdV3, Steps: 161k, Episode Reward: 112
[2025-04-05 17:09:32,437][__main__][INFO] - EnvName: LLdV3, Steps: 162k, Episode Reward: 188
[2025-04-05 17:09:59,341][__main__][INFO] - EnvName: LLdV3, Steps: 163k, Episode Reward: 148
[2025-04-05 17:10:25,867][__main__][INFO] - EnvName: LLdV3, Steps: 164k, Episode Reward: 198
[2025-04-05 17:10:52,451][__main__][INFO] - EnvName: LLdV3, Steps: 165k, Episode Reward: 103
[2025-04-05 17:11:17,796][__main__][INFO] - EnvName: LLdV3, Steps: 166k, Episode Reward: 166
