[2025-04-09 13:35:26,215][__main__][INFO] - System information:
[2025-04-09 13:35:26,215][__main__][INFO] -   Platform: Linux-6.11.0-21-generic-x86_64-with-glibc2.39
[2025-04-09 13:35:26,215][__main__][INFO] -   Python: 3.12.2
[2025-04-09 13:35:26,215][__main__][INFO] -   PyTorch: 2.5.1
[2025-04-09 13:35:26,215][__main__][INFO] -   CUDA Available: True
[2025-04-09 13:35:26,215][__main__][INFO] -   CUDA Version: 12.4
[2025-04-09 13:35:26,215][__main__][INFO] -   GPU: NVIDIA GeForce GTX 1080 Ti
[2025-04-09 13:35:26,303][__main__][INFO] - Env: HalfCheetah-v5  state_dim: 17  action_dim: 6  max_a: 1.0  min_a: -1.0  max_e_steps: 1000
[2025-04-09 13:35:26,305][__main__][INFO] - Random Seed: 42
[2025-04-09 13:35:26,305][__main__][INFO] - Models will be saved to models/SAC_model/HCv5
[2025-04-09 14:50:33,476][__main__][INFO] - EnvName: HCv5, Steps: 91k, Episode Reward: -595
[2025-04-09 14:51:24,659][__main__][INFO] - EnvName: HCv5, Steps: 92k, Episode Reward: -393
[2025-04-09 14:52:17,517][__main__][INFO] - EnvName: HCv5, Steps: 93k, Episode Reward: -452
[2025-04-09 14:53:10,664][__main__][INFO] - EnvName: HCv5, Steps: 94k, Episode Reward: -544
[2025-04-09 14:53:57,705][__main__][INFO] - EnvName: HCv5, Steps: 95k, Episode Reward: -418
[2025-04-09 14:54:48,191][__main__][INFO] - EnvName: HCv5, Steps: 96k, Episode Reward: -502
[2025-04-09 14:55:39,758][__main__][INFO] - EnvName: HCv5, Steps: 97k, Episode Reward: -578
[2025-04-09 14:56:28,878][__main__][INFO] - EnvName: HCv5, Steps: 98k, Episode Reward: -805
[2025-04-09 14:57:15,734][__main__][INFO] - EnvName: HCv5, Steps: 99k, Episode Reward: -549
[2025-04-09 14:58:08,656][__main__][INFO] - EnvName: HCv5, Steps: 100k, Episode Reward: -608
[2025-04-09 14:59:10,569][__main__][INFO] - EnvName: HCv5, Steps: 101k, Episode Reward: -647
[2025-04-09 14:59:58,059][__main__][INFO] - EnvName: HCv5, Steps: 102k, Episode Reward: -665
[2025-04-09 15:00:46,094][__main__][INFO] - EnvName: HCv5, Steps: 103k, Episode Reward: -554
[2025-04-09 15:01:36,215][__main__][INFO] - EnvName: HCv5, Steps: 104k, Episode Reward: -550
[2025-04-09 15:02:23,531][__main__][INFO] - EnvName: HCv5, Steps: 105k, Episode Reward: -659
[2025-04-09 15:03:11,004][__main__][INFO] - EnvName: HCv5, Steps: 106k, Episode Reward: -654
[2025-04-09 15:04:04,535][__main__][INFO] - EnvName: HCv5, Steps: 107k, Episode Reward: -514
[2025-04-09 15:04:53,284][__main__][INFO] - EnvName: HCv5, Steps: 108k, Episode Reward: -490
